"S.No.","Name","CMP
            Rs.","P/E","CMP / Sales","BEP
            %","Altman Z Scr","EV / EBITDA","Int Coverage","Debt / Eq","Quick Rat","Current ratio","Inven TO","Mar Cap
            Rs.Cr.","Div Yld
            %","Dividend Payout
            %","ROE
            %","EPS 12M
            Rs."
"1.","UltraTech Cem.","6719.90","35.51","4.34","11.31","4.70","16.85","6.56","0.40","0.94","1.13","3.78","193972.90","0.19","19.55","13.12","189.26"
"2.","Shree Cement","27014.90","42.64","7.23","15.13","12.93","21.83","12.95","0.12","1.75","2.21","1.99","97471.78","0.41","9.47","16.00","633.54"
"3.","Ambuja Cements","339.25","23.58","2.59","12.44","6.32","9.63","35.75","0.00","1.21","1.39","4.25","67363.01","5.31","151.10","10.47","13.89"
"4.","ACC","1987.25","20.77","2.56","12.20","7.00","11.04","38.48","0.01","1.57","1.76","4.98","37318.02","0.70","18.40","12.79","88.92"
"5.","Dalmia BharatLtd","1937.65","29.45","3.45","7.85","4.35","13.12","5.65","0.24","1.12","1.31","3.64","36256.82","0.10","2.00","10.62","65.79"
"6.","The Ramco Cement","1009.45","30.39","4.50","10.75","4.00","16.86","14.05","0.54","0.36","0.60","2.40","23811.91","0.30","9.03","14.60","33.22"
"7.","J K Cements","2865.20","31.19","3.35","13.63","4.29","14.70","5.32","0.90","1.24","1.63","3.09","22138.90","0.52","16.33","20.98","91.85"
"8.","Birla Corpn.","1226.20","13.87","1.39","8.27","2.46","8.97","3.60","0.66","0.92","1.32","2.75","9442.97","0.61","12.22","13.23","81.83"
"9.","JK Lakshmi Cem.","584.10","15.87","1.45","14.87","3.44","7.69","4.09","0.61","0.75","1.00","4.53","6873.11","0.43","10.89","22.90","34.45"
"10.","Prism Johnson","134.30","39.48","1.21","6.03","2.31","11.99","1.77","1.41","0.66","0.90","4.24","6760.12","0.74","0.00","14.93","3.40"
"11.","India Cements","192.55","28.86","1.32","5.25","1.93","10.14","2.15","0.43","0.48","0.71","2.60","5967.07","0.31","14.99","3.70","6.67"
"12.","Heidelberg Cem.","248.60","17.89","2.66","15.54","5.10","9.73","8.69","0.12","0.91","1.09","5.62","5633.60","3.02","57.56","22.43","13.90"
"13.","Star Cement","108.25","18.02","2.60","10.57","10.09","11.06","38.75","0.01","2.90","3.59","1.64","4464.54","0.92","0.00","12.61","4.54"
"14.","Orient Cement","138.05","13.20","1.22","15.19","3.32","6.28","4.57","0.60","0.65","1.00","3.81","2828.21","1.45","19.13","17.67","10.45"
"15.","Sagar Cements","1121.40","14.17","1.92","12.73","2.90","7.65","7.04","0.62","0.91","1.15","4.18","2635.29","0.58","8.21","17.31","79.16"
"16.","K C P","147.10","11.38","1.11","14.40","3.58","4.58","6.56","0.35","1.40","1.98","2.86","1896.43","0.10","15.82","18.17","12.64"
"17.","Sanghi Industrie","54.30","17.44","1.45","5.46","1.76","10.28","2.54","0.73","0.68","1.74","0.88","1362.93","0.00","0.00","4.56","3.11"
"18.","Sh. Digvijay Cem","82.10","21.56","2.33","19.71","9.66","9.36","53.51","0.00","1.35","2.04","3.07","1171.45","3.05","65.88","18.50","3.79"
"19.","Mangalam Cement","362.15","8.87","0.74","12.64","2.28","4.57","3.60","0.78","0.97","1.32","2.63","966.58","0.28","3.67","17.33","40.83"
"20.","NCL Industries","211.15","6.42","0.69","19.12","3.45","3.98","12.13","0.40","0.77","1.11","6.63","955.09","1.42","12.17","24.92","32.87"
"21.","Udaipur Cement","30.60","15.45","1.30","12.09","2.32","9.67","2.19","2.12","0.72","0.99","7.53","952.91","0.00","0.00","29.72","1.77"
"22.","Anjani Portland","373.55","11.11","2.32","21.93","9.09","6.21","157.18","0.01","2.52","2.82","4.94","944.55","1.34","14.87","27.40","33.61"
"23.","Deccan Cements","586.70","7.14","1.08","18.90","4.49","3.48","21.91","0.15","1.64","2.00","4.21","821.82","0.68","6.08","22.69","82.19"
"24.","Shiva Cement","36.75","","25.15","-4.81","1.03","-142.56","-0.97","24.93","0.21","0.38","2.05","716.63","0.00","0.00","","-1.13"
"25.","Saurashtra Cem.","90.60","8.76","0.94","14.73","4.65","3.66","24.45","0.04","1.37","1.71","1.20","633.20","1.93","16.90","14.85","10.35"
"26.","Andhra Cements","15.80","","4637.60","-8.02","-2.45","-42.85","-0.58","","0.03","0.04","0.39","463.76","0.00","0.00","","-6.99"
"27.","Guj. Sidhee Cem.","48.20","14.03","0.76","7.78","3.42","5.81","10.65","0.07","0.71","1.17","1.55","428.52","2.07","0.00","7.36","3.46"
"28.","Kakatiya Cement","265.90","113.52","1.68","5.61","3.37","5.86","7.48","0.14","2.23","2.89","0.70","206.60","1.13","186.40","0.83","1.61"
"29.","Keerthi Indus","137.30","4.82","0.47","27.35","3.78","2.50","7.73","0.39","0.44","0.79","5.79","110.11","0.66","6.23","34.91","24.02"
"30.","Barak Valley","22.90","21.60","0.35","5.06","1.33","7.50","1.36","0.92","0.55","0.80","1.97","50.75","0.00","0.00","2.02","1.06"
"31.","Shri Keshav","37.50","","0.56","4.59","0.55","7.43","0.64","9.57","0.16","0.52","1.64","44.98","0.00","0.00","-68.77","-7.04"
"32.","Burnpur Cement","3.05","","0.21","-7.43","-2.66","-45.31","-0.38","","0.02","0.09","4.24","26.27","0.00","0.00","","-9.20"
